miRNA	E10.5	E11.5	E12.5	E13.5	E14.5	E16.5	P3	P6	P9	Adult
mmu-miR-136	11.2465030983	11.2465030983	11.2465030983	11.2465030983	11.2465030983	11.6969675262	11.9106802026	11.9106802026	11.9106802026	10.9822806046
mmu-miR-124a	13.5013022936	13.5013022936	13.5013022936	13.5013022936	13.5013022936	13.0280959942	13.2907676556	13.2907676556	13.2907676556	13.3744010497
mmu-miR-125b	12.0928231969	12.0928231969	12.0928231969	12.0928231969	12.0928231969	12.6166177607	12.2541428469	12.2541428469	12.2541428469	11.6614663707
mmu-miR-24	9.790837187	9.790837187	9.790837187	9.790837187	9.790837187	8.98384867402	9.07467668629	9.07467668629	9.07467668629	10.4313931331
mmu-miR-7	10.9059886293	10.9059886293	10.9059886293	10.9059886293	10.9059886293	10.9148335687	9.99590844612	9.99590844612	9.99590844612	9.38154295118
mmu-let-7g	10.631449923	10.631449923	10.631449923	10.631449923	10.631449923	11.3621630116	11.2996659441	11.2996659441	11.2996659441	11.5241988751
mmu-miR-125a	11.8412105099	11.8412105099	11.8412105099	11.8412105099	11.8412105099	11.6060812871	11.2340390039	11.2340390039	11.2340390039	11.5468944599
mmu-miR-16	10.3160552089	10.3160552089	10.3160552089	10.3160552089	10.3160552089	10.6192112364	10.4506957716	10.4506957716	10.4506957716	9.96058121135
mmu-miR-29c	7.05311133646	7.05311133646	7.05311133646	7.05311133646	7.05311133646	7.63952159951	8.98099636973	8.98099636973	8.98099636973	11.9531051506
mmu-miR-29b	6.20163386117	6.20163386117	6.20163386117	6.20163386117	6.20163386117	6.6308131523	8.59357786734	8.59357786734	8.59357786734	11.7873720593
mmu-miR-99a	10.8824902134	10.8824902134	10.8824902134	10.8824902134	10.8824902134	11.3590357218	11.1616987696	11.1616987696	11.1616987696	8.29691620688
mmu-let-7d	11.985877506	11.985877506	11.985877506	11.985877506	11.985877506	12.0591078232	12.1776686866	12.1776686866	12.1776686866	12.2762698309
mmu-miR-138	8.93044167304	8.93044167304	8.93044167304	8.93044167304	8.93044167304	9.80106162797	10.7342015396	10.7342015396	10.7342015396	10.8438425565
mmu-miR-103	9.40875431259	9.40875431259	9.40875431259	9.40875431259	9.40875431259	9.50660511557	9.86356682932	9.86356682932	9.86356682932	8.44790974874
mmu-miR-124a	13.5013022936	13.5013022936	13.5013022936	13.5013022936	13.5013022936	13.0280959942	13.2907676556	13.2907676556	13.2907676556	13.3744010497
mmu-miR-92	11.4170085868	11.4170085868	11.4170085868	11.4170085868	11.4170085868	9.80429238744	8.00281501561	8.00281501561	8.00281501561	7.16188768238
mmu-miR-324-5p	8.16691625157	8.16691625157	8.16691625157	8.16691625157	8.16691625157	7.80089989992	7.34607044079	7.34607044079	7.34607044079	6.68229237143
mmu-miR-421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13750352375
mmu-miR-132	4.24031432933	4.24031432933	4.24031432933	4.24031432933	4.24031432933	5.5077946402	5.94719858426	5.94719858426	5.94719858426	9.06258586651
mmu-miR-146	8.37460481919	8.37460481919	8.37460481919	8.37460481919	8.37460481919	9.01652974824	9.98939449984	9.98939449984	9.98939449984	8.96491840785
mmu-let-7f	11.7183188105	11.7183188105	11.7183188105	11.7183188105	11.7183188105	11.8664289367	11.7772142122	11.7772142122	11.7772142122	11.9532143037
mmu-let-7c	12.8619979982	12.8619979982	12.8619979982	12.8619979982	12.8619979982	12.7806832917	12.7846961833	12.7846961833	12.7846961833	13.1123906342
mmu-let-7b	12.5978197886	12.5978197886	12.5978197886	12.5978197886	12.5978197886	12.8113144796	12.4933050792	12.4933050792	12.4933050792	12.7935829895
mmu-miR-9	12.5908209309	12.5908209309	12.5908209309	12.5908209309	12.5908209309	12.1764848473	11.6804913909	11.6804913909	11.6804913909	11.1907506497
mmu-miR-99a	10.8824902134	10.8824902134	10.8824902134	10.8824902134	10.8824902134	11.3590357218	11.1616987696	11.1616987696	11.1616987696	8.29691620688
mmu-miR-9*	9.42815076781	9.42815076781	9.42815076781	9.42815076781	9.42815076781	9.34917063086	10.3229421334	10.3229421334	10.3229421334	7.75020450928
mmu-let-7a	12.9836171347	12.9836171347	12.9836171347	12.9836171347	12.9836171347	12.7490523391	12.8753846006	12.8753846006	12.8753846006	12.9954138522
mmu-miR-128b	10.9298501621	10.9298501621	10.9298501621	10.9298501621	10.9298501621	12.1218896144	12.3574145462	12.3574145462	12.3574145462	12.5670766949
mmu-miR-136	11.2465030983	11.2465030983	11.2465030983	11.2465030983	11.2465030983	11.6969675262	11.9106802026	11.9106802026	11.9106802026	10.9822806046
mmu-miR-130a	11.1068246301	11.1068246301	11.1068246301	11.1068246301	11.1068246301	10.4441866627	9.77939105954	9.77939105954	9.77939105954	7.71424551767
mmu-miR-26b	10.5048189876	10.5048189876	10.5048189876	10.5048189876	10.5048189876	11.1220514477	10.9932214674	10.9932214674	10.9932214674	10.0141599892
mmu-miR-28	6.78398041368	6.78398041368	6.78398041368	6.78398041368	6.78398041368	6.86913111964	7.18784690944	7.18784690944	7.18784690944	7.16591193894
mmu-miR-142-3p	7.62205181946	7.62205181946	7.62205181946	7.62205181946	7.62205181946	8.17941152317	7.96636124729	7.96636124729	7.96636124729	5.64673869831
mmu-miR-149	9.70615062782	9.70615062782	9.70615062782	9.70615062782	9.70615062782	8.6106557744	8.65105169118	8.65105169118	8.65105169118	7.12928301694
mmu-miR-26a	10.7187041057	10.7187041057	10.7187041057	10.7187041057	10.7187041057	10.9125151448	10.8885149563	10.8885149563	10.8885149563	11.0505969235
mmu-let-7e	11.8552188875	11.8552188875	11.8552188875	11.8552188875	11.8552188875	12.1981380524	12.0126594536	12.0126594536	12.0126594536	11.6362620888
mmu-let-7i	9.47836516334	9.47836516334	9.47836516334	9.47836516334	9.47836516334	10.0473966075	10.4051414631	10.4051414631	10.4051414631	10.2950801328
mmu-miR-137	10.4998458871	10.4998458871	10.4998458871	10.4998458871	10.4998458871	11.4713703875	11.4966041546	11.4966041546	11.4966041546	9.93825638244
mmu-miR-320	10.5381889321	10.5381889321	10.5381889321	10.5381889321	10.5381889321	9.45306481405	9.23146120983	9.23146120983	9.23146120983	7.53838296003
mmu-miR-101b	7.59469782732	7.59469782732	7.59469782732	7.59469782732	7.59469782732	7.65320336203	9.06850959467	9.06850959467	9.06850959467	7.08427691053
mmu-miR-195	9.5870273824	9.5870273824	9.5870273824	9.5870273824	9.5870273824	9.68176548785	8.90689059561	8.90689059561	8.90689059561	9.06447332875
mmu-let-7d	11.985877506	11.985877506	11.985877506	11.985877506	11.985877506	12.0591078232	12.1776686866	12.1776686866	12.1776686866	12.2762698309
mmu-let-7f	11.7183188105	11.7183188105	11.7183188105	11.7183188105	11.7183188105	11.8664289367	11.7772142122	11.7772142122	11.7772142122	11.9532143037
mmu-let-7f	11.7183188105	11.7183188105	11.7183188105	11.7183188105	11.7183188105	11.8664289367	11.7772142122	11.7772142122	11.7772142122	11.9532143037
mmu-let-7i	9.47836516334	9.47836516334	9.47836516334	9.47836516334	9.47836516334	10.0473966075	10.4051414631	10.4051414631	10.4051414631	10.2950801328
mmu-miR-100	11.0125547068	11.0125547068	11.0125547068	11.0125547068	11.0125547068	11.8739438936	11.2107930851	11.2107930851	11.2107930851	9.05012073039
mmu-miR-103	9.40875431259	9.40875431259	9.40875431259	9.40875431259	9.40875431259	9.50660511557	9.86356682932	9.86356682932	9.86356682932	8.44790974874
mmu-miR-107	9.35402893805	9.35402893805	9.35402893805	9.35402893805	9.35402893805	9.29324171896	10.6353553607	10.6353553607	10.6353553607	8.31015831795
mmu-miR-10a	7.41193462479	7.41193462479	7.41193462479	7.41193462479	7.41193462479	7.93899143878	7.98242322678	7.98242322678	7.98242322678	5.11686375769
mmu-miR-122a	4.43295940728	4.43295940728	4.43295940728	4.43295940728	4.43295940728	4.79181407116	5.7414669864	5.7414669864	5.7414669864	4.3434078223
mmu-miR-126*	8.77840572424	8.77840572424	8.77840572424	8.77840572424	8.77840572424	10.0386446866	10.4959549331	10.4959549331	10.4959549331	9.00140819439
mmu-miR-125a	11.8412105099	11.8412105099	11.8412105099	11.8412105099	11.8412105099	11.6060812871	11.2340390039	11.2340390039	11.2340390039	11.5468944599
mmu-miR-128a	10.7878209567	10.7878209567	10.7878209567	10.7878209567	10.7878209567	12.6501542137	12.8833306109	12.8833306109	12.8833306109	13.0579240525
mmu-miR-128b	10.9298501621	10.9298501621	10.9298501621	10.9298501621	10.9298501621	12.1218896144	12.3574145462	12.3574145462	12.3574145462	12.5670766949
mmu-miR-129	4.28540221886	4.28540221886	4.28540221886	4.28540221886	4.28540221886	4.6264391367	6.15987133678	6.15987133678	6.15987133678	6.59693514239
mmu-miR-129	4.28540221886	4.28540221886	4.28540221886	4.28540221886	4.28540221886	4.6264391367	6.15987133678	6.15987133678	6.15987133678	6.59693514239
mmu-miR-130b	9.40981519582	9.40981519582	9.40981519582	9.40981519582	9.40981519582	8.83636600872	7.09169983414	7.09169983414	7.09169983414	4.81249822533
mmu-miR-132	4.24031432933	4.24031432933	4.24031432933	4.24031432933	4.24031432933	5.5077946402	5.94719858426	5.94719858426	5.94719858426	9.06258586651
mmu-miR-133	2.51096191928	2.51096191928	2.51096191928	2.51096191928	2.51096191928	3.58496250072	3.48542682717	3.48542682717	3.48542682717	5.80735492206
mmu-miR-134	8.02624677265	8.02624677265	8.02624677265	8.02624677265	8.02624677265	5.9795681001	7.10643207782	7.10643207782	7.10643207782	4.58496250072
mmu-miR-135	10.20738044	10.20738044	10.20738044	10.20738044	10.20738044	10.0866670179	9.57061472176	9.57061472176	9.57061472176	7.15076274436
mmu-miR-135	10.20738044	10.20738044	10.20738044	10.20738044	10.20738044	10.0866670179	9.57061472176	9.57061472176	9.57061472176	7.15076274436
mmu-miR-138	8.93044167304	8.93044167304	8.93044167304	8.93044167304	8.93044167304	9.80106162797	10.7342015396	10.7342015396	10.7342015396	10.8438425565
mmu-miR-139	5.80735492206	5.80735492206	5.80735492206	5.80735492206	5.80735492206	4.32912359629	5.83289001416	5.83289001416	5.83289001416	8.29508013276
mmu-miR-140	6.83162393682	6.83162393682	6.83162393682	6.83162393682	6.83162393682	6.32192809489	7.16289479937	7.16289479937	7.16289479937	5.87036471958
mmu-miR-141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13750352375
mmu-miR-142-5p	5.38543103719	5.38543103719	5.38543103719	5.38543103719	5.38543103719	6.41616416473	3.45943161864	3.45943161864	3.45943161864	4.18586654531
mmu-miR-143	6.8034853756	6.8034853756	6.8034853756	6.8034853756	6.8034853756	6.98641093525	7.98754825895	7.98754825895	7.98754825895	7.72178276846
mmu-miR-144	5.43962313756	5.43962313756	5.43962313756	5.43962313756	5.43962313756	7.85486838326	5.82273014794	5.82273014794	5.82273014794	5.16188768238
mmu-miR-145	7.36981542428	7.36981542428	7.36981542428	7.36981542428	7.36981542428	7.62205181946	6.93899143878	6.93899143878	6.93899143878	8.34784279364
mmu-miR-146	8.37460481919	8.37460481919	8.37460481919	8.37460481919	8.37460481919	9.01652974824	9.98939449984	9.98939449984	9.98939449984	8.96491840785
mmu-miR-148a	6.96693797928	6.96693797928	6.96693797928	6.96693797928	6.96693797928	6.47086219941	6.62497817957	6.62497817957	6.62497817957	5.65248649492
mmu-miR-148b	7.18883607303	7.18883607303	7.18883607303	7.18883607303	7.18883607303	7.16591193894	6.86046625852	6.86046625852	6.86046625852	6.39059890555
mmu-miR-149	9.70615062782	9.70615062782	9.70615062782	9.70615062782	9.70615062782	8.6106557744	8.65105169118	8.65105169118	8.65105169118	7.12928301694
mmu-miR-150	3.64385618977	3.64385618977	3.64385618977	3.64385618977	3.64385618977	4.28540221886	5.24792751344	5.24792751344	5.24792751344	6.90809234082
mmu-miR-152	5.96116025814	5.96116025814	5.96116025814	5.96116025814	5.96116025814	5.18189764311	5.86294724802	5.86294724802	5.86294724802	4.1779177922
mmu-miR-153	8.55190048	8.55190048	8.55190048	8.55190048	8.55190048	8.13185696061	7.95652136333	7.95652136333	7.95652136333	7.1395513524
mmu-miR-154	6.41447383643	6.41447383643	6.41447383643	6.41447383643	6.41447383643	7.69278983497	8.59245703727	8.59245703727	8.59245703727	8.36194377374
mmu-miR-155	4.13750352375	4.13750352375	4.13750352375	4.13750352375	4.13750352375	2.37851162325	3.2779847473	3.2779847473	3.2779847473	1.26303440583
mmu-miR-15a	9.88111396068	9.88111396068	9.88111396068	9.88111396068	9.88111396068	9.86588789226	8.92362461137	8.92362461137	8.92362461137	7.67171796513
mmu-miR-15b	10.1946337523	10.1946337523	10.1946337523	10.1946337523	10.1946337523	10.3076562053	8.69766263347	8.69766263347	8.69766263347	7.97613447283
mmu-miR-17-5p	11.0629230945	11.0629230945	11.0629230945	11.0629230945	11.0629230945	10.8041310212	9.5376066915	9.5376066915	9.5376066915	7.04657836662
mmu-miR-18	9.15431181144	9.15431181144	9.15431181144	9.15431181144	9.15431181144	8.14159627838	7.80089989992	7.80089989992	7.80089989992	2.20163386117
mmu-miR-181a	12.6250923701	12.6250923701	12.6250923701	12.6250923701	12.6250923701	11.6025132975	11.054604318	11.054604318	11.054604318	10.5119502697
mmu-miR-181b	12.6630020881	12.6630020881	12.6630020881	12.6630020881	12.6630020881	11.4511080585	11.0241007803	11.0241007803	11.0241007803	10.1529185761
mmu-miR-181c	11.8636442583	11.8636442583	11.8636442583	11.8636442583	11.8636442583	11.1265754246	10.161131883	10.161131883	10.161131883	9.8533095554
mmu-miR-182	5.13750352375	5.13750352375	5.13750352375	5.13750352375	5.13750352375	3.67807190511	4.28540221886	4.28540221886	4.28540221886	5.972692654
mmu-miR-183	6.17592374206	6.17592374206	6.17592374206	6.17592374206	6.17592374206	4.98641093525	6.36981542428	6.36981542428	6.36981542428	6.52825874276
mmu-miR-187	5.25550073315	5.25550073315	5.25550073315	5.25550073315	5.25550073315	4.94953493302	5.87528859822	5.87528859822	5.87528859822	5.61470984412
mmu-miR-192	3.18586654531	3.18586654531	3.18586654531	3.18586654531	3.18586654531	4.1456774552	3.47248777146	3.47248777146	3.47248777146	4.15380533608
mmu-miR-196	0.925999418556	0.925999418556	0.925999418556	0.925999418556	0.925999418556	0.378511623254	0.378511623254	0.378511623254	0.378511623254	0.263034405834
mmu-miR-199a	7.84109254469	7.84109254469	7.84109254469	7.84109254469	7.84109254469	6.81249822533	5.99774402606	5.99774402606	5.99774402606	3.71149490665
mmu-miR-19a	10.0544686562	10.0544686562	10.0544686562	10.0544686562	10.0544686562	9.8986013874	8.79376585731	8.79376585731	8.79376585731	5.40939093614
