gene	E10.5	E11.5	E13.5
Phgdh	9.52356195606	9.20212382383	9.10199526387
Hnrpab	8.4553272203	8.83145120379	8.63925847804
Dlst	7.45121111183	7.73603061841	7.55533129704
Hnrpa2b1	9.67948009951	10.0191860231	9.78405431602
Hnrph2	5.95419631039	6.11975717564	5.94007369139
Hnrph1	7.12928301694	7.17291718247	6.97985644138
Ywhag	6.84549005094	7.02840841519	7.37692752878
Sncb	8.59991284219	8.12627736254	7.82855408776
Snca	9.28077077013	9.60223490134	9.14349917228
Ctbp1	7.71424551767	8.22675622404	8.03479896258
Rsu1	8.79441586635	9.13380879077	9.41476653501
Hspa5	10.6969675262	10.5465034468	10.4341069286
Cdv3	5.78135971352	5.11021174369	5.48872190673
Nme1	8.65821148275	7.96443000943	7.90365014333
Ppil1	6.95419631039	7.04276540129	7.01262453887
Ubqln2	6.18982455888	6.61907984483	6.028695433
Eef1a1	8.04984854945	7.93925270191	8.09362856383
Sumo3	7.38370429247	7.45727286462	6.99681305482
Nmral1	6.30378074818	6.98648433804	7.03342300154
Sept9	7.27612440527	7.19261849502	7.30508458472
Vdac1	8.07681559705	8.0483533072	8.29365877402
Hspa4	8.68299458368	8.24065105358	8.06195850036
Gsto1	7.12928301694	7.37917204672	7.15822324859
Elavl1	7.98868468677	8.12423495461	8.36444736663
Bub3	9.1823943534	8.66744655479	8.66744655479
Cirbp	7.0552824355	9.44239790909	10.8816602498
Gnb2l1	9.5018371849	8.62380198735	8.63952955024
Hspd1	7.45943161864	7.89170161297	7.62665241115
Pcbp4	7.4262647547	7.44068044434	6.48544351257
Naca	7.85174904142	7.50860582664	6.76793574497
Hnrpa1	9.44914864538	9.64979300197	9.56927775433
Hnrpa3	7.9772799235	8.08157649787	7.99172224226
Lsm12	6.0	6.0879141771	5.59599353785
Cops8	8.92184093707	8.58919039965	7.99851620367
Dnajc8	7.94251450534	7.8453141733	7.69266677837
Txnl2	6.08746284125	6.38743232633	6.74616771492
Atp5b	7.43462822764	7.50821178493	7.77295135716
Spr	7.59991284219	7.73530494495	7.06720252431
Fubp1	8.52356195606	9.10003465387	8.65927062945
Nudt5	6.26678654069	5.57367041799	5.23029761942
Cops4	6.64385618977	6.56065728243	6.38370429247
Mtpn	6.44294349585	6.77953236047	6.87302836223
Atp5h	7.02236781303	7.43462822764	7.30667303622
Scye1	8.7108064337	8.48488312684	8.30051599222
Sra1	7.10852445678	7.29169396473	7.02508731438
Cltb	7.02236781303	7.32426390326	7.53360784219
Sh3bgrl	7.78135971352	8.53988168654	8.3356530689
Glo1	5.24792751344	5.56224242422	5.49337895056
Mtap	9.00562454919	8.59512425016	8.09735975905
Hibch	5.49185309633	5.67242534197	6.03795062923
Nedd8	6.4262647547	6.76281302814	6.76281302814
Tubb5	7.18982455888	6.72890637344	5.62449086491
Dpysl2	4.45943161864	4.85798099513	5.63915137997
Dpysl3	5.67242534197	5.73018706154	5.7599943926
Dld	6.0	4.88929653559	5.2255905609
Dhrs4	7.11894107272	6.64789837113	6.52967617757
Eef1b	6.4262647547	5.40814848303	4.74187550829
Dhrs1	7.71424551767	8.35562639364	8.79986716583
Eno1	9.07414146275	10.3241269577	10.2570663508
Tpi1	5.72792045456	6.13613668799	5.89304582907
Eno3	9.65463602853	8.7842772693	8.90739144444
Tceb2	7.55458885168	7.78790255939	7.55458885168
Lgals1	6.18982455888	8.23361967676	9.35655200802
Txndc12	7.11894107272	7.58996318178	7.35184862057
Cbx3	6.33985000288	6.50601221467	6.19124821267
Pa2g4	8.52747700606	7.70673501092	7.73955626088
Cbx1	7.10852445678	7.25948174007	6.92095349415
Lzic	5.32192809489	5.6017255011	5.69067830611
Mat2a	8.33539035469	7.80134600229	7.44392386008
Impa1	8.01122725542	7.6679077661	7.87428280746
Ube2d3	6.7414669864	7.19185357104	6.54185417862
Pfn1	8.01122725542	8.04026175992	7.88740229837
Rbm14	8.88264304936	9.03434045469	9.31625094965
Serpinh1	9.89178370322	10.1778145097	10.6281417189
Idh3a	6.20945336563	5.54303182026	5.40861923511
None	6.78135971352	8.20747607758	8.89151957011
Lmnb1	8.24792751344	8.32169079	8.35229265434
Hyou1	8.44708322621	8.34976176634	8.12618821052
Pabpc1	9.35755200462	9.24669661992	9.11916095217
Tagln2	9.30833903014	9.62981194438	9.0338097678
Nudc	9.31741261376	8.8746197926	9.05483039256
Myl6	7.90086680798	8.58823103714	8.49827504765
Ssbp1	7.78135971352	8.12005737945	7.50772912718
Basp1	7.58496250072	8.67024189265	8.97622493622
Pdcd8	7.54689445989	7.54689445989	7.79719830702
Hbz	6.91886323727	8.90989308377	9.09395768608
Psmc3	10.203348003	10.10582286	9.79232550852
Cct6a	8.44294349585	7.89888087816	7.82225007455
Ldha	8.73131903103	7.91832117638	7.61759018609
Tagln	8.16992500144	7.6164613255	7.36632221425
Dbi	7.64385618977	8.45171723183	8.42669853923
Cox5a	7.52356195606	8.0564610117	8.0564610117
Myef2	7.7747870596	7.66428266287	7.95842089625
Spag7	8.76487159074	8.77933799465	8.55127733427
Dync1i2	8.01680828769	7.18124250102	7.28929673563
Cct7	7.59245703727	7.4298550387	7.6812757994
Ina	7.8887432489	7.76496286877	7.75184832884
Fkbp2	6.87036471958	8.29697819562	9.1823943534
Psmd4	9.72962074355	10.0156190245	9.8187861208
Nucb1	6.90689059561	6.99543640579	7.59197469188
Apoa1	9.02513956228	10.2750713634	11.8592574464
Hist1h1c	7.30378074818	7.60605100466	6.93905523995
Ubqln1	6.72792045456	7.27995191	7.10185632653
Pdap1	6.52356195606	6.2997168158	5.87270409911
Pdia3	8.19967234484	7.12786599913	8.35118464221
Snap29	8.06608919046	9.24749602098	9.24749602098
Sod1	8.87958324961	9.90716659504	8.74238599803
Echs1	8.64745842645	8.86454608953	8.98677814407
Crmp1	8.04984854945	8.52225457487	9.73574707862
Ptbp1	5.20945336563	5.10153802646	5.06317641935
Aco2	9.21916852046	9.69242177334	9.97938886135
Vim	10.6865005272	11.6860627499	11.7152003387
Etfa	8.7448338375	9.38747886584	9.01307878529
Etfb	8.07146236256	8.02897891153	8.52404520802
Chchd6	8.20457114425	8.17609979857	8.19026475536
Actg1	6.02236781303	6.27035095274	6.51002584238
