MIRNA	GENE	INPUT
dme-miR-1	CG18769	1
dme-miR-1	CG11710	1
dme-miR-1	CG5522	1
dme-miR-1	apt	1
dme-miR-1	CG3338	1
dme-miR-1	LIMK1	1
dme-miR-1	CG12991	1
dme-miR-1	CG1545	1
dme-miR-1	CG17665	1
dme-miR-1	Fas1	1
dme-miR-1	CG42541	1
dme-miR-1	CG13631	1
dme-miR-1	aux	1
dme-miR-1	nmo	1
dme-miR-1	CG6216	1
dme-miR-1	Lis-1	1
dme-miR-1	CG10508	1
dme-miR-1	Cep97	1
dme-miR-1	CG8963	1
dme-miR-1	CG4230	1
dme-miR-1	mrt	1
dme-miR-1	Hs2st	1
dme-miR-1	Nep4	1
dme-miR-1	CG32043	1
dme-miR-1	T48	1
dme-miR-1	CG8401	1
dme-miR-1	CG17510	1
dme-miR-1	Dys	1
dme-miR-1	CG14997	1
dme-miR-1	sec5	1
dme-miR-1	Vha16	1
dme-miR-1	mam	1
dme-miR-1	shot	1
dme-miR-1	sm	1
dme-miR-1	CG13125	1
dme-miR-1	CG8193	1
dme-miR-1	sdt	1
dme-miR-1	CG9813	1
dme-miR-1	CG42348	1
dme-miR-1	rogdi	1
dme-miR-1	CG33096	1
dme-miR-1	CG8389	1
dme-miR-1	CG10731	1
dme-miR-1	CG32726	1
dme-miR-1	CG8557	1
dme-miR-1	Cont	1
dme-miR-1	CG1021	1
dme-miR-1	Patj	1
dme-miR-1	CG14971	1
dme-miR-1	CG14662	1
dme-miR-1	CG3797	1
dme-miR-1	CG41106	1
dme-miR-1	tho2	1
dme-miR-1	alpha-Cat	1
dme-miR-1	Hrs	1
dme-miR-1	CG8602	1
dme-miR-1	CG14384	1
dme-miR-1	mus312	1
dme-miR-1	Msr-110	1
dme-miR-1	Nedd4	1
dme-miR-1	CG9590	1
dme-miR-1	gish	1
dme-miR-1	CG10249	1
dme-miR-1	CG31477	1
dme-miR-1	rtv	1
dme-miR-1	CG11198	1
dme-miR-1	CG15347	1
dme-miR-1	Mical	1
dme-miR-1	CG42351	1
dme-miR-1	CG14367	1
dme-miR-1	SMSr	1
dme-miR-1	CG42321	1
dme-miR-1	CG17807	1
dme-miR-1	CG30121	1
dme-miR-1	CG2446	1
dme-miR-1	Hip1	1
dme-miR-1	CG11208	1
dme-miR-1	TotM	1
dme-miR-1	NPFR76F	1
dme-miR-1	CG17159	1
dme-miR-1	Rab30	1
dme-miR-1	CG11486	1
dme-miR-1	CG7785	1
dme-miR-1	Caki	1
