MIRNA	GENE	INPUT
cel-let-7	rnt-1	1
cel-let-7	daf-16	1
cel-let-7	daf-16	1
cel-let-7	daf-16	1
cel-let-7	dpy-2	1
cel-let-7	ect-2	1
cel-let-7	unc-49	1
cel-let-7	nipi-3	1
cel-let-7	cog-1	1
cel-let-7	vit-6	1
cel-let-7	F29B9.2	1
cel-let-7	die-1	1
cel-let-7	ntl-3	1
cel-let-7	nid-1	1
cel-let-7	F32B5.6	1
cel-let-7	unc-18	1
cel-let-7	K04H4.2	1
cel-let-7	Y39G10AR.18	1
cel-let-7	C32F10.8	1
cel-let-7	scpl-3	1
cel-let-7	ceh-18	1
cel-let-7	H04M03.3	1
cel-let-7	F35G12.2	1
cel-let-7	col-167	1
cel-let-7	nhr-4	1
cel-let-7	flh-1	1
cel-let-7	sox-2	1
cel-let-7	mod-1	1
cel-let-7	rpl-22	1
cel-let-7	F45E4.3	1
cel-let-7	glr-4	1
cel-let-7	hil-7	1
cel-let-7	ent-1	1
cel-let-7	ent-1	1
cel-let-7	sel-7	1
cel-let-7	vha-7	1
cel-let-7	nhr-3	1
cel-let-7	gdi-1	1
cel-let-7	F31D4.2	1
cel-let-7	F47H4.1	1
cel-let-7	C24H10.3	1
cel-let-7	C26E6.3	1
cel-let-7	Y54G2A.5	1
cel-let-7	K08F8.1	1
cel-let-7	flp-17	1
cel-let-7	clec-76	1
cel-let-7	daf-16	1
cel-let-7	daf-16	1
cel-let-7	daf-16	1
cel-let-7	set-14	1
cel-let-7	fib-1	1
cel-let-7	hil-7	1
cel-let-7	gei-3	1
cel-let-7	nhr-25	1
cel-let-7	Y56A3A.31	1
cel-let-7	K04B12.2	1
cel-let-7	B0546.4	1
cel-let-7	F59A3.6	1
cel-let-7	daf-7	1
cel-let-7	ccb-1	1
cel-let-7	F09G2.9	1
cel-let-7	tsp-12	1
cel-let-7	T12F5.2	1
cel-let-7	sma-4	1
cel-let-7	R03H10.6	1
cel-let-7	lex-1	1
cel-let-7	W02C12.1	1
cel-let-7	pme-2	1
cel-let-7	plp-1	1
cel-let-7	igcm-3	1
cel-let-7	F14E5.2	1
cel-let-7	vit-6	1
cel-let-7	smg-4	1
cel-let-7	fcp-1	1
cel-let-7	fcp-1	1
cel-let-7	mdf-2	1
cel-let-7	wrk-1	1
cel-let-7	trxr-1	1
cel-let-7	gon-14	1
cel-let-7	F35G2.1	1
cel-let-7	daf-12	1
cel-let-7	daf-12	1
cel-let-7	daf-12	1
cel-let-7	Y48B6A.1	1
cel-let-7	fkh-7	1
cel-let-7	fkh-7	1
cel-let-7	fkh-7	1
cel-let-7	F11A10.6	1
cel-let-7	C07D10.5	1
cel-let-7	ZC8.6	1
cel-let-7	fozi-1	1
cel-let-7	smc-3	1
cel-let-7	ftt-2	1
cel-let-7	clh-1	1
cel-let-7	nduf-7	1
cel-let-7	wrt-2	1
cel-let-7	F43E2.7	1
cel-let-7	B0336.3	1
cel-let-7	T04D3.5	1
cel-let-7	F53B1.6	1
cel-let-7	rde-4	1
cel-let-7	ent-2	1
cel-let-7	ZK180.3	1
cel-let-7	sul-2	1
cel-let-7	pqn-45	1
cel-let-7	T08B2.12	1
cel-let-7	gei-8	1
cel-let-7	npp-7	1
cel-let-7	nhl-3	1
cel-let-7	unc-2	1
cel-let-7	gdi-1	1
cel-let-7	pcn-1	1
cel-let-7	Y57A10A.27	1
cel-let-7	F10G2.2	1
cel-let-7	let-413	1
cel-let-7	C15H9.9	1
cel-let-7	tag-340	1
cel-let-7	F57C7.1	1
cel-let-7	fox-1	1
cel-let-7	gana-1	1
cel-let-7	nlp-16	1
cel-let-7	atg-4.1	1
cel-let-7	egl-13	1
cel-let-7	gon-14	1
cel-let-7	GTP-binding	1
cel-let-7	K04B12.2	1
cel-let-7	K08F8.1	1
cel-let-7	sem-2	1
cel-let-7	C14F11.1	1
cel-let-7	apr-1	1
cel-let-7	inx-10	1
cel-let-7	ceh-39	1
cel-let-7	dpy-31	1
cel-let-7	cki-2	1
cel-let-7	F46B6.6	1
cel-let-7	htz-1	1
cel-let-7	C52E12.4	1
cel-let-7	K01A2.10	1
cel-let-7	C27D6.4	1
cel-let-7	morc-1	1
cel-let-7	F09F7.4	1
cel-let-7	gbb-1	1
cel-let-7	T27F7.1	1
cel-let-7	fkh-7	1
cel-let-7	fkh-7	1
cel-let-7	fkh-7	1
cel-let-7	F54D5.5	1
cel-let-7	F47G4.4	1
cel-let-7	unc-71	1
cel-let-7	flna-1	1
cel-let-7	unc-43	1
cel-let-7	rad-50	1
cel-let-7	sas-4	1
cel-let-7	sas-4	1
cel-let-7	unc-129	1
cel-let-7	unc-129	1
cel-let-7	crm-1	1
cel-let-7	T16A9.4	1
cel-let-7	C36E8.1	1
cel-let-7	ZC328.2	1
cel-let-7	C07B5.6	1
cel-let-7	ooc-5	1
cel-let-7	let-756	1
cel-let-7	smg-6	1
cel-let-7	daf-9	1
cel-let-7	ccr-4	1
cel-let-7	F13C5.2	1
cel-let-7	C49H3.6	1
cel-let-7	C15C8.4	1
cel-let-7	mdt-15	1
cel-let-7	zig-1	1
cel-let-7	T24G10.2	1
cel-let-7	bre-1	1
cel-let-7	sdz-24	1
cel-let-7	sel-10	1
cel-let-7	sel-10	1
cel-let-7	F18E9.3	1
cel-let-7	C07E3.5	1
cel-let-7	C07E3.5	1
cel-let-7	C25H3.8	1
cel-let-7	C06A5.3	1
cel-let-7	ins-33	1
cel-let-7	byn-1	1
cel-let-7	F35G2.2	1
cel-let-7	yop-1	1
cel-let-7	mtl-1	1
cel-let-7	T24B8.3	1
cel-let-7	lem-3	1
cel-let-7	H40L08.1	1
cel-let-7	Y49A10A.1	1
cel-let-7	cey-1	1
cel-let-7	T04A8.7	1
cel-let-7	mml-1	1
cel-let-7	F02H6.3	1
cel-let-7	T06D10.1	1
cel-let-7	vha-8	1
cel-let-7	lgc-1	1
cel-let-7	cah-5	1
cel-let-7	athp-1	1
cel-let-7	C33H5.7	1
cel-let-7	coh-1	1
cel-let-7	Y110A7A.15	1
cel-let-7	T22D1.3	1
cel-let-7	cyp-13A1	1
cel-let-7	ztf-20	1
cel-let-7	nhr-56	1
cel-let-7	C45G9.13	1
cel-let-7	epn-1	1
cel-let-7	lig-1	1
cel-let-7	sph-1	1
cel-let-7	dbl-1	1
cel-let-7	F25G6.7	1
cel-let-7	lec-3	1
cel-let-7	ins-35	1
cel-let-7	nhx-8	1
cel-let-7	nhx-8	1
cel-let-7	spn-4	1
cel-let-7	K04H4.2	1
cel-let-7	C35E7.4	1
cel-let-7	skr-3	1
cel-let-7	scpl-3	1
cel-let-7	sdz-24	1
cel-let-7	mtl-1	1
cel-let-7	Y54E10BR.3	1
cel-let-7	F23H11.4	1
cel-let-7	inx-6	1
cel-let-7	F25B5.3	1
cel-let-7	ztf-14	1
cel-let-7	ztf-14	1
cel-let-7	cfz-2	1
cel-let-7	Y105C5A.15	1
cel-let-7	vit-6	1
cel-let-7	rpb-2	1
cel-let-7	zbed-6	1
cel-let-7	tag-97	1
cel-let-7	gei-3	1
cel-let-7	M153.3	1
cel-let-7	F33D11.10	1
cel-let-7	F18C5.10	1
cel-let-7	F36D4.5	1
cel-let-7	daf-16	1
cel-let-7	daf-16	1
cel-let-7	daf-16	1
cel-let-7	C18D4.6	1
cel-let-7	jun-1	1
cel-let-7	sdz-24	1
cel-let-7	F22D3.2	1
cel-let-7	K04H4.2	1
cel-let-7	ZK816.1	1
cel-let-7	C46F11.6	1
cel-let-7	B0284.2	1
cel-let-7	gei-4	1
cel-let-7	pgp-10	1
cel-let-7	C12D5.5	1
cel-let-7	nhr-17	1
cel-let-7	Y46E12BR.1	1
cel-let-7	D1007.5	1
cel-let-7	ttr-31	1
cel-let-7	ztf-12	1
cel-let-7	wrt-10	1
cel-let-7	tag-308	1
cel-let-7	T19A6.1	1
cel-let-7	pbs-6	1
cel-let-7	W09G3.6	1
cel-let-7	lon-2	1
cel-let-7	M02D8.6	1
cel-let-7	K04H4.2	1
cel-let-7	T03G6.3	1
cel-let-7	hyl-2	1
cel-let-7	aph-1	1
cel-let-7	T12E12.3	1
cel-let-7	fib-1	1
cel-let-7	C16B8.2	1
cel-let-7	acy-3	1
cel-let-7	C10E2.6	1
cel-let-7	C10E2.6	1
cel-let-7	F17A2.13	1
cel-let-7	nlp-33	1
cel-let-7	nhr-43	1
cel-let-7	dpy-31	1
cel-let-7	nex-4	1
cel-let-7	T25E4.1	1
cel-let-7	cux-7	1
cel-let-7	Y52E8A.2	1
cel-let-7	eft-4	1
cel-let-7	zen-4	1
cel-let-7	T21D12.9	1
cel-let-7	exos-7	1
cel-let-7	lbp-9	1
cel-let-7	K07B1.6	1
cel-let-7	C15H9.9	1
cel-let-7	twk-26	1
cel-let-7	tbc-20	1
cel-let-7	pan-1	1
cel-let-7	F13E9.11	1
cel-let-7	nhl-3	1
cel-let-7	T04D3.5	1
cel-let-7	F58H1.5	1
cel-let-7	K08F8.1	1
cel-let-7	inx-1	1
cel-let-7	atm-1	1
cel-let-7	dab-1	1
cel-let-7	alg-1	1
cel-let-7	mel-26	1
cel-let-7	R53.7	1
cel-let-7	C17E4.2	1
cel-let-7	M28.5	1
cel-let-7	rad-50	1
cel-let-7	C46C2.2	1
cel-let-7	mdf-2	1
cel-let-7	Y116F11B.9	1
cel-let-7	lat-1	1
cel-let-7	let-413	1
cel-let-7	F57C7.1	1
cel-let-7	F59A3.6	1
cel-let-7	F54H12.5	1
cel-let-7	hgrs-1	1
cel-let-7	C49H3.6	1
cel-let-7	B0035.6	1
cel-let-7	smg-2	1
cel-let-7	tsr-1	1
cel-let-7	ztf-16	1
cel-let-7	T24B8.3	1
cel-let-7	jun-1	1
cel-let-7	tag-38	1
cel-let-7	Y97E10AR.2	1
cel-let-7	K08F8.1	1
cel-let-7	daf-16	1
cel-let-7	daf-16	1
cel-let-7	daf-16	1
cel-let-7	ast-1	1
cel-let-7	vit-6	1
cel-let-7	nhr-138	1
cel-let-7	B0284.1	1
cel-let-7	C06B8.7	1
cel-let-7	srz-66	1
cel-let-7	hil-7	1
cel-let-7	col-91	1
cel-let-7	C48A7.2	1
cel-let-7	C48A7.2	1
cel-let-7	ins-20	1
cel-let-7	srt-64	1
cel-let-7	hbl-1	1
cel-let-7	hbl-1	1
cel-let-7	hbl-1	1
cel-let-7	hbl-1	1
cel-let-7	hbl-1	1
cel-let-7	ZC328.1	1
cel-let-7	T05G5.1	1
cel-let-7	ctbp-1	1
cel-let-7	R01B10.6	1
cel-let-7	arx-2	1
cel-let-7	ZC190.4	1
cel-let-7	ZC190.4	1
cel-let-7	Y73E7A.8	1
cel-let-7	E02A10.4	1
cel-let-7	F52B5.2	1
cel-let-7	pme-5	1
cel-let-7	smg-4	1
cel-let-7	cids-2	1
cel-let-7	Y73B6BL.1	1
cel-let-7	F35B3.4	1
cel-let-7	C18H7.1	1
cel-let-7	his-24	1
cel-let-7	T04A8.8	1
cel-let-7	mml-1	1
cel-let-7	F09E10.6	1
cel-let-7	T25G3.3	1
cel-let-7	C15H9.9	1
cel-let-7	T18D3.1	1
cel-let-7	F26F12.3	1
cel-let-7	K02E10.4	1
cel-let-7	T14B1.1	1
cel-let-7	T14B1.1	1
cel-let-7	T14B1.1	1
cel-let-7	T14B1.1	1
cel-let-7	T14B1.1	1
cel-let-7	T14B1.1	1
cel-let-7	C05D2.8	1
cel-let-7	F11C7.6	1
cel-let-7	Y39A1A.12	1
cel-let-7	cux-7	1
cel-let-7	htz-1	1
cel-let-7	Y53C10A.5	1
cel-let-7	F31E9.6	1
cel-let-7	T24B8.3	1
cel-let-7	igcm-3	1
cel-let-7	yop-1	1
cel-let-7	K07B1.4	1
cel-let-7	F17A9.4	1
cel-let-7	unc-2	1
cel-let-7	T26A5.5	1
cel-let-7	clk-2	1
cel-let-7	apg-1	1
cel-let-7	ces-2	1
cel-let-7	T24E12.9	1
cel-let-7	C46E10.8	1
cel-let-7	sid-1	1
cel-let-7	K10C2.7	1
cel-let-7	ref-1	1
cel-let-7	mab-5	1
cel-let-7	F55A11.1	1
cel-let-7	dbl-1	1
cel-let-7	zfp-1	1
cel-let-7	rnh-2	1
cel-let-7	lam-2	1
cel-let-7	crm-1	1
cel-let-7	sma-4	1
cel-let-7	C50B6.3	1
cel-let-7	lin-28	1
cel-let-7	vps-35	1
cel-let-7	T17H7.7	1
cel-let-7	rfs-1	1
cel-let-7	mtk-1	1
cel-let-7	hexokinase	1
