MIRNA	GENE	INPUT
rno-miR-322	Dync1i2	1
rno-miR-322	Dmtf1	1
rno-miR-322	Slc12a1	1
rno-miR-322	Mmp12	1
rno-miR-322	Fut7	1
rno-miR-322	Trpc4	1
rno-miR-322	Trpc4	1
rno-miR-322	Tgfb3	1
rno-miR-322	Ccdc90b	1
rno-miR-322	Sptbn2	1
rno-miR-322	Sptbn2	1
rno-miR-322	Zbtb44	1
rno-miR-322	Tram1	1
rno-miR-322	Smad2	1
rno-miR-322	Bdnf	1
rno-miR-322	Pcdhac2	1
rno-miR-322	Scn3b	1
rno-miR-322	Rln3	1
rno-miR-322	Slc25a22	1
rno-miR-322	Slc25a22	1
rno-miR-322	Grinl1a	1
rno-miR-322	Jam3	1
rno-miR-322	Stxbp3	1
rno-miR-322	Stxbp3	1
rno-miR-322	Hdgfl1	1
rno-miR-322	Eif4b	1
rno-miR-322	Eif4b	1
rno-miR-322	Rgs12	1
rno-miR-322	RGD1311739	1
rno-miR-322	Metrnl	1
rno-miR-322	Mgat3	1
rno-miR-322	Glud1	1
rno-miR-322	Glud1	1
rno-miR-322	LOC362526	1
rno-miR-322	Slc25a14	1
rno-miR-322	Fam133b	1
rno-miR-322	Fam133b	1
rno-miR-322	Rbm12	1
rno-miR-322	MGC114520	1
rno-miR-322	Nfs1	1
rno-miR-322	Nsfl1c	1
rno-miR-322	Gnrhr	1
rno-miR-322	Plp1	1
rno-miR-322	Nr1i3	1
rno-miR-322	Wap	1
rno-miR-322	Pcdha10	1
rno-miR-322	Sds	1
rno-miR-322	Il33	1
rno-miR-322	Pbsn	1
rno-miR-322	RGD1308127	1
rno-miR-322	Slc25a27	1
rno-miR-322	Cldn23	1
rno-miR-322	Chpt1	1
rno-miR-322	Slc18a2	1
rno-miR-322	Tmem183a	1
rno-miR-322	Sele	1
rno-miR-322	Cd200	1
rno-miR-322	Acsl6	1
rno-miR-322	Ccdc52	1
rno-miR-322	Enah	1
rno-miR-322	Tbp	1
rno-miR-322	Tbp	1
rno-miR-322	Tbp	1
rno-miR-322	Leprot	1
rno-miR-322	P2rx5	1
rno-miR-322	Myod1	1
rno-miR-322	Nsg1	1
rno-miR-322	Ppap2a	1
rno-miR-322	Tspan12	1
rno-miR-322	Tspan12	1
rno-miR-322	Cox6b2	1
rno-miR-322	Cnn3	1
rno-miR-322	Trnt1	1
rno-miR-322	Pcdha11	1
rno-miR-322	Hp1bp3	1
rno-miR-322	Apln	1
rno-miR-322	Pim1	1
rno-miR-322	Cpa5	1
rno-miR-322	Mtmr12	1
rno-miR-322	Pcp4	1
rno-miR-322	Btg2	1
rno-miR-322	Btg2	1
rno-miR-322	Cast	1
rno-miR-322	Prkcd	1
rno-miR-322	Prmt3	1
rno-miR-322	Sln	1
rno-miR-322	Cask	1
rno-miR-322	Ppp1r11	1
rno-miR-322	Ppp6c	1
rno-miR-322	Aacs	1
rno-miR-322	Ssr1	1
rno-miR-322	Cyb5r4	1
rno-miR-322	Ypel5	1
rno-miR-322	Pcdha8	1
rno-miR-322	Cugbp1	1
rno-miR-322	Fbln5	1
rno-miR-322	Pcdha2	1
rno-miR-322	RGD1305007	1
rno-miR-322	Nxph1	1
rno-miR-322	Nxph1	1
rno-miR-322	Ptf1a	1
rno-miR-322	Mapk9	1
rno-miR-322	Map2k1	1
rno-miR-322	Rnf181	1
rno-miR-322	Sip1	1
rno-miR-322	Rnf41	1
rno-miR-322	Rps6kb2	1
rno-miR-322	Ube2a	1
rno-miR-322	Usp19	1
rno-miR-322	Pigl	1
rno-miR-322	Pip5k1c	1
rno-miR-322	Thex1	1
rno-miR-322	Rnd2	1
rno-miR-322	Tmem135	1
rno-miR-322	Bckdk	1
rno-miR-322	mrpl9	1
rno-miR-322	Cnr1	1
rno-miR-322	Gk	1
rno-miR-322	Rbbp7	1
rno-miR-322	Has2	1
rno-miR-322	Pdha1	1
rno-miR-322	Ptpn18	1
rno-miR-322	Ctgf	1
rno-miR-322	Ppp2r1b	1
rno-miR-322	Dhrs9	1
rno-miR-322	Akap12	1
rno-miR-322	Pcdha1	1
rno-miR-322	Trmt2a	1
rno-miR-322	Gramd3	1
rno-miR-322	Pcdha4	1
rno-miR-322	Gck	1
rno-miR-322	Tmem90b	1
rno-miR-322	Rtn3	1
rno-miR-322	Sdcbp2	1
rno-miR-322	Nup62	1
rno-miR-322	Kpna1	1
rno-miR-322	Kpna1	1
rno-miR-322	mrpl24	1
rno-miR-322	Esam	1
rno-miR-322	Wee1	1
rno-miR-322	Wee1	1
rno-miR-322	Rere	1
rno-miR-322	Eif2b2	1
rno-miR-322	Ptprr	1
rno-miR-322	Bhlhe40	1
rno-miR-322	Cyp11b2	1
rno-miR-322	Ddx52	1
rno-miR-322	Dynlt3	1
rno-miR-322	Dynlt3	1
rno-miR-322	Thbd	1
rno-miR-322	Grap	1
rno-miR-322	Smad1	1
rno-miR-322	Gabra5	1
rno-miR-322	Scg5	1
rno-miR-322	Paqr4	1
rno-miR-322	Actn1	1
rno-miR-322	Ppp1r1a	1
rno-miR-322	Baiap2	1
rno-miR-322	RGD1309362	1
rno-miR-322	Nrg1	1
rno-miR-322	Gak	1
rno-miR-322	Pik3c3	1
rno-miR-322	Fmo4	1
rno-miR-322	RGD735112	1
rno-miR-322	Yt521	1
rno-miR-322	Crkl	1
rno-miR-322	Kcnip2	1
rno-miR-322	Kcnip2	1
rno-miR-322	Rps18	1
rno-miR-322	Ly49s6	1
rno-miR-322	Gatad2b	1
rno-miR-322	Gatad2b	1
rno-miR-322	LOC498063	1
rno-miR-322	Ccnjl	1
rno-miR-322	Gpha2	1
rno-miR-322	Nelf	1
rno-miR-322	Ptma	1
rno-miR-322	Slc12a5	1
rno-miR-322	Neil1	1
rno-miR-322	Penk	1
rno-miR-322	Sdc4	1
rno-miR-322	Zkscan1	1
rno-miR-322	Stx1b	1
rno-miR-322	Pde11a	1
rno-miR-322	Mfn2	1
rno-miR-322	Raf1	1
rno-miR-322	Cyb5b	1
rno-miR-322	Pcdha12	1
rno-miR-322	S100a3	1
rno-miR-322	Atp5g1	1
rno-miR-322	Camkv	1
rno-miR-322	Per2	1
rno-miR-322	RGD1304952	1
rno-miR-322	Pdia6	1
rno-miR-322	Aqp11	1
rno-miR-322	Bcl2l2	1
rno-miR-322	Bcl2l2	1
rno-miR-322	Plcd4	1
rno-miR-322	Bicd2	1
rno-miR-322	Pcdha3	1
rno-miR-322	Lrrn3	1
rno-miR-322	Nppb	1
rno-miR-322	Gabarapl2	1
rno-miR-322	Dclk1	1
rno-miR-322	Dclk1	1
rno-miR-322	Akr1c2	1
rno-miR-322	Podxl	1
rno-miR-322	Hsd17b7	1
rno-miR-322	Pi4k2b	1
rno-miR-322	Cd40	1
rno-miR-322	Adcy5	1
rno-miR-322	Rfx3	1
rno-miR-322	Zbtb43	1
rno-miR-322	Cel	1
rno-miR-322	Atp1b4	1
rno-miR-322	Dll1	1
rno-miR-322	Pigm	1
rno-miR-322	RT1-CE16	1
rno-miR-322	Ube2b	1
rno-miR-322	Them4	1
rno-miR-322	Btrc	1
rno-miR-322	Glb1l3	1
rno-miR-322	Sema4a	1
rno-miR-322	Vezt	1
rno-miR-322	Phlda3	1
rno-miR-322	Ppm1a	1
rno-miR-322	Tfpi2	1
rno-miR-322	Fhl1	1
rno-miR-322	Dek	1
rno-miR-322	Dek	1
rno-miR-322	Sgk1	1
rno-miR-322	Fhl1	1
rno-miR-322	Drd1a	1
rno-miR-322	Rab8a	1
rno-miR-322	Uhmk1	1
rno-miR-322	Gnai3	1
rno-miR-322	Gnai3	1
rno-miR-322	Lasp1	1
rno-miR-322	Taf11	1
rno-miR-322	Cmas	1
rno-miR-322	Clic5	1
rno-miR-322	Cd53	1
rno-miR-322	Cacna2d1	1
rno-miR-322	RT1-CE5	1
rno-miR-322	Dctn4	1
rno-miR-322	Nr4a1	1
rno-miR-322	Gabrg3	1
rno-miR-322	Efnb1	1
rno-miR-322	RGD621352	1
rno-miR-322	Tspan5	1
